employee_id,skill_id,skill_name,proficiency,years_experience,last_used_date
EMP1000,SKL006,Node.js,Intermediate,10,2024-02-08
EMP1000,SKL027,Problem Solving,Expert,5,2023-11-20
EMP1000,SKL014,Git,Beginner,9,2024-03-22
EMP1000,SKL010,Azure,Advanced,8,2025-04-02
EMP1000,SKL009,AWS,Advanced,2,2024-11-14
EMP1000,SKL003,JavaScript,Intermediate,10,2024-11-01
EMP1000,SKL008,Kubernetes,Beginner,10,2025-04-30
EMP1001,SKL022,Financial Modeling,Beginner,3,2024-09-19
EMP1001,SKL023,Market Research,Beginner,1,2025-09-14
EMP1001,SKL016,Project Management,Beginner,0,2025-04-03
EMP1001,SKL018,Scrum,Intermediate,0,2025-06-10
EMP1001,SKL008,Kubernetes,Beginner,1,2025-02-19
EMP1001,SKL028,Critical Thinking,Advanced,1,2025-05-26
EMP1001,SKL031,Adaptability,Beginner,3,2024-11-22
EMP1001,SKL003,JavaScript,Expert,1,2024-07-02
EMP1001,SKL015,CI/CD,Expert,0,2025-03-04
EMP1002,SKL028,Critical Thinking,Intermediate,0,2025-08-02
EMP1002,SKL011,Machine Learning,Advanced,0,2025-03-03
EMP1002,SKL031,Adaptability,Beginner,0,2024-08-16
EMP1002,SKL006,Node.js,Intermediate,0,2025-04-29
EMP1002,SKL015,CI/CD,Advanced,0,2025-04-16
EMP1002,SKL002,Java,Expert,1,2025-04-29
EMP1002,SKL024,Leadership,Expert,0,2025-04-17
EMP1002,SKL010,Azure,Advanced,0,2024-09-11
EMP1003,SKL015,CI/CD,Intermediate,1,2025-07-26
EMP1003,SKL028,Critical Thinking,Intermediate,8,2024-07-02
EMP1003,SKL009,AWS,Expert,8,2024-01-17
EMP1004,SKL009,AWS,Expert,8,2024-02-15
EMP1004,SKL029,Creativity,Expert,14,2024-02-22
EMP1004,SKL018,Scrum,Advanced,12,2023-11-20
EMP1004,SKL031,Adaptability,Beginner,9,2024-04-06
EMP1004,SKL021,Stakeholder Management,Expert,1,2024-02-04
EMP1004,SKL005,React,Intermediate,14,2025-08-04
EMP1004,SKL025,Communication,Advanced,10,2023-11-22
EMP1004,SKL028,Critical Thinking,Advanced,5,2025-05-03
EMP1004,SKL015,CI/CD,Advanced,7,2024-04-04
EMP1004,SKL020,Business Analysis,Advanced,10,2025-09-07
EMP1004,SKL017,Agile,Advanced,12,2023-11-30
EMP1004,SKL013,Data Analysis,Expert,11,2024-04-20
EMP1005,SKL012,Deep Learning,Beginner,7,2024-11-17
EMP1005,SKL014,Git,Expert,14,2025-03-27
EMP1005,SKL004,SQL,Expert,5,2024-03-01
EMP1005,SKL029,Creativity,Expert,1,2025-03-28
EMP1005,SKL021,Stakeholder Management,Beginner,13,2024-05-15
EMP1005,SKL003,JavaScript,Intermediate,0,2024-10-13
EMP1005,SKL013,Data Analysis,Expert,13,2025-08-25
EMP1005,SKL019,Product Strategy,Expert,4,2025-03-10
EMP1005,SKL023,Market Research,Advanced,7,2025-09-06
EMP1005,SKL001,Python,Expert,14,2025-07-15
EMP1005,SKL017,Agile,Advanced,12,2025-01-01
EMP1005,SKL005,React,Expert,7,2024-04-06
EMP1006,SKL009,AWS,Expert,6,2024-01-15
EMP1006,SKL030,Time Management,Advanced,3,2024-06-30
EMP1006,SKL008,Kubernetes,Advanced,0,2025-06-29
EMP1006,SKL018,Scrum,Intermediate,1,2024-11-03
EMP1006,SKL027,Problem Solving,Intermediate,0,2024-03-04
EMP1006,SKL029,Creativity,Beginner,0,2024-11-12
EMP1006,SKL031,Adaptability,Expert,4,2024-10-02
EMP1006,SKL025,Communication,Advanced,3,2023-11-26
EMP1006,SKL015,CI/CD,Expert,7,2024-02-08
EMP1006,SKL028,Critical Thinking,Beginner,3,2024-03-18
EMP1007,SKL026,Team Collaboration,Intermediate,3,2025-10-10
EMP1007,SKL027,Problem Solving,Expert,1,2024-03-07
EMP1007,SKL004,SQL,Advanced,0,2025-06-05
EMP1007,SKL028,Critical Thinking,Intermediate,3,2025-05-08
EMP1007,SKL008,Kubernetes,Beginner,3,2024-10-20
EMP1007,SKL002,Java,Beginner,0,2024-11-20
EMP1007,SKL020,Business Analysis,Beginner,1,2024-11-10
EMP1007,SKL024,Leadership,Beginner,2,2023-11-25
EMP1007,SKL013,Data Analysis,Expert,1,2025-09-07
EMP1007,SKL023,Market Research,Expert,0,2024-10-24
EMP1007,SKL014,Git,Intermediate,2,2025-02-06
EMP1008,SKL014,Git,Advanced,11,2024-05-16
EMP1008,SKL020,Business Analysis,Intermediate,4,2024-04-14
EMP1008,SKL019,Product Strategy,Advanced,1,2024-06-26
EMP1008,SKL029,Creativity,Beginner,13,2025-01-25
EMP1008,SKL004,SQL,Beginner,9,2025-08-15
EMP1008,SKL026,Team Collaboration,Intermediate,3,2025-08-18
EMP1008,SKL002,Java,Expert,4,2024-09-09
EMP1008,SKL013,Data Analysis,Advanced,7,2023-12-19
EMP1008,SKL006,Node.js,Intermediate,3,2024-07-26
EMP1008,SKL011,Machine Learning,Expert,4,2023-11-16
EMP1008,SKL017,Agile,Expert,3,2024-01-28
EMP1009,SKL011,Machine Learning,Intermediate,5,2025-03-13
EMP1009,SKL025,Communication,Expert,0,2025-08-29
EMP1009,SKL003,JavaScript,Beginner,0,2025-05-16
